"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","gene_symbols","Pathway_Description"
"Genetic Information Processing","Chromosome","kmr03083","Polycomb repressive complex - Kryptolebias marmoratus (mangrove rivulus)","3/7","97/7558",0.0309278350515464,33.3932253313697,9.77604146936303,6.91054823397126e-05,0.000483738376377988,0.000290970451956685,"108241543/108239710/108248046",3,"PrC_PrW_Up","suz12b/jarid2b/fbrs","Polycomb repressive complex - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Metabolism of cofactors and vitamins","kmr00860","Porphyrin metabolism - Kryptolebias marmoratus (mangrove rivulus)","2/7","44/7558",0.0454545454545455,49.0779220779221,9.7377344731699,0.000682854760210181,0.00238999166073563,0.00143758896886354,"108247879/108238652",2,"PrC_PrW_Up","blvrb/urod","Porphyrin metabolism - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Metabolism of cofactors and vitamins","kmr00740","Riboflavin metabolism - Kryptolebias marmoratus (mangrove rivulus)","1/7","8/7558",0.125,134.964285714286,11.5420259518999,0.00738880504197603,0.0172405450979441,0.0103702526904927,"108247879",1,"PrC_PrW_Up","blvrb","Riboflavin metabolism - Kryptolebias marmoratus (mangrove rivulus)"
"Organismal Systems","Immune system","kmr04621","NOD-like receptor signaling pathway - Kryptolebias marmoratus (mangrove rivulus)","1/7","166/7558",0.00602409638554217,6.50430292598967,2.18321691721036,0.144030322177104,0.212949153036761,0.128089716112338,"108245925",1,"PrC_PrW_Up","txn","NOD-like receptor signaling pathway - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Global and overview maps","kmr01240","Biosynthesis of cofactors - Kryptolebias marmoratus (mangrove rivulus)","1/7","176/7558",0.00568181818181818,6.13474025974026,2.09850152527645,0.152106537883401,0.212949153036761,0.128089716112338,"108238652",1,"PrC_PrW_Up","urod","Biosynthesis of cofactors - Kryptolebias marmoratus (mangrove rivulus)"
"Cellular Processes","Cell motility","kmr04814","Motor proteins - Kryptolebias marmoratus (mangrove rivulus)","1/7","235/7558",0.00425531914893617,4.59452887537994,1.70432685324782,0.198439551259114,0.2315128098023,0.139255825444992,"108233795",1,"PrC_PrW_Up","kif4","Motor proteins - Kryptolebias marmoratus (mangrove rivulus)"
"Human Diseases","Infectious disease: bacterial","kmr05132","Salmonella infection - Kryptolebias marmoratus (mangrove rivulus)","1/7","325/7558",0.00307692307692308,3.3221978021978,1.30287620851933,0.264933229314343,0.264933229314343,0.159358333422161,"108245925",1,"PrC_PrW_Up","txn","Salmonella infection - Kryptolebias marmoratus (mangrove rivulus)"
"Organismal Systems","Sensory system","kmr04744","Phototransduction - Kryptolebias marmoratus (mangrove rivulus)","3/9","44/7558",0.0681818181818182,57.2575757575758,12.9217998464316,1.50930979332141e-05,0.000316955056597496,0.000301861958664282,"108231337/108239581/108236782",3,"PrC_PrW_Down","gnat1/gngt1/gnat2","Phototransduction - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Carbohydrate metabolism","kmr00640","Propanoate metabolism - Kryptolebias marmoratus (mangrove rivulus)","1/9","32/7558",0.03125,26.2430555555556,4.94067240259818,0.0374858221180775,0.288817957762953,0.275064721679003,"108239988",1,"PrC_PrW_Down","ldha","Propanoate metabolism - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Carbohydrate metabolism","kmr00620","Pyruvate metabolism - Kryptolebias marmoratus (mangrove rivulus)","1/9","54/7558",0.0185185185185185,15.5514403292181,3.70516628122913,0.0625274872772931,0.288817957762953,0.275064721679003,"108239988",1,"PrC_PrW_Down","ldha","Pyruvate metabolism - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Amino acid metabolism","kmr00330","Arginine and proline metabolism - Kryptolebias marmoratus (mangrove rivulus)","1/9","57/7558",0.0175438596491228,14.7329434697856,3.59329382086336,0.0658969939170414,0.288817957762953,0.275064721679003,"108233541",1,"PrC_PrW_Down","LOC108233541","Arginine and proline metabolism - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Amino acid metabolism","kmr00270","Cysteine and methionine metabolism - Kryptolebias marmoratus (mangrove rivulus)","1/9","62/7558",0.0161290322580645,13.5448028673835,3.42449195302481,0.0714889210012236,0.288817957762953,0.275064721679003,"108239988",1,"PrC_PrW_Down","ldha","Cysteine and methionine metabolism - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Carbohydrate metabolism","kmr00010","Glycolysis / Gluconeogenesis - Kryptolebias marmoratus (mangrove rivulus)","1/9","83/7558",0.0120481927710843,10.1178045515395,2.88386535224989,0.0946514754479285,0.288817957762953,0.275064721679003,"108239988",1,"PrC_PrW_Down","ldha","Glycolysis / Gluconeogenesis - Kryptolebias marmoratus (mangrove rivulus)"
"Environmental Information Processing","Signal transduction","kmr04012","ErbB signaling pathway - Kryptolebias marmoratus (mangrove rivulus)","1/9","113/7558",0.00884955752212389,7.43166175024582,2.37838041542333,0.126849897290494,0.288817957762953,0.275064721679003,"108245388",1,"PrC_PrW_Down","LOC108245388","ErbB signaling pathway - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Lipid metabolism","kmr00564","Glycerophospholipid metabolism - Kryptolebias marmoratus (mangrove rivulus)","1/9","123/7558",0.00813008130081301,6.82746160794941,2.24979394420969,0.137354185074574,0.288817957762953,0.275064721679003,"108242293",1,"PrC_PrW_Down","ache","Glycerophospholipid metabolism - Kryptolebias marmoratus (mangrove rivulus)"
