"","logFC","logCPM","F","PValue","FDR"
"LOC108250335",-3.23110196312165,3.80449674432944,39.0297903425034,1.96250104920266e-05,0.0618505134460695
"si:ch211-237l4.6",-2.02649554772108,5.51111757753894,38.7490698391809,2.03793489854832e-05,0.0618505134460695
"exosc1",-1.57124606423147,6.76651024336631,36.3424419297967,2.85996569313905e-05,0.0618505134460695
"znf395a",-3.41835258117732,6.63373273320996,37.6398521176442,2.92547570829145e-05,0.0618505134460695
"usp49",1.37213784174078,5.33851398353375,35.455091460948,3.25425160947159e-05,0.0618505134460695
"LOC108244205",-1.9507669159942,5.28739071526936,35.4370056343452,3.26290970941421e-05,0.0618505134460695
"bcl6ab",-2.09895507784288,6.02217795701199,35.2947372653054,3.37641466502191e-05,0.0618505134460695
"znhit3",-1.40129477285353,4.94076267330789,35.1272754202245,3.41534233833049e-05,0.0618505134460695
"bhlhe40",-2.48151195820738,4.21472556139906,33.7455178513946,4.20230470738447e-05,0.0618505134460695
"LOC108250946",-1.94786715330979,5.81642972812932,33.5841939195562,4.30700733204791e-05,0.0618505134460695
"isca2",-1.34410822755537,6.09488594713878,33.3793276250385,4.44428872088828e-05,0.0618505134460695
"LOC108232319",-2.49624463156843,3.78340845860297,33.2535110519725,4.53107228867377e-05,0.0618505134460695
"lg15h15orf48",-3.02886250943408,4.23692780213343,33.3720316468416,4.63610864533096e-05,0.0618505134460695
"LOC108249319",-1.78900254986878,6.04187991853567,32.6107473309449,5.00575819506162e-05,0.0618505134460695
"LOC108249007",-2.06429464503226,3.82989639965921,32.4249706888395,5.15335630833818e-05,0.0618505134460695
"cbx7a",-3.64387367696727,5.10859741982292,33.3834969269722,5.31280240779686e-05,0.0618505134460695
"atxn10",2.48363321184564,2.9830802382235,31.6751878587842,5.8017454069605e-05,0.0618505134460695
"LOC108231589",-2.05244445561001,6.00415854423843,31.5451812898111,6.03453862756153e-05,0.0618505134460695
"LOC108230721",-2.44875172636262,5.17332858502141,31.582567593404,6.12290019202554e-05,0.0618505134460695
"slc7a1a",-1.41353349163158,5.47770195195042,31.2240497074374,6.2365988602623e-05,0.0618505134460695
"LOC108241855",-1.25872132009224,5.82078662311949,30.4350171273955,7.08974665364733e-05,0.0618505134460695
"eef2k",-1.9988146261256,7.65632888599748,29.4700958141438,8.56773090864046e-05,0.0618505134460695
"esco2",1.63768054547279,3.97842540572755,29.0180155811749,8.97926285849089e-05,0.0618505134460695
"ftr83",-1.6028469061247,5.98132484323936,28.9801093043511,9.03718835302828e-05,0.0618505134460695
"ankrd9",-2.36025888028515,3.13567237500215,28.7650021763786,9.37409136876845e-05,0.0618505134460695
