"","logFC","logCPM","F","PValue","FDR"
"LOC108244500",-4.70990136957144,5.00407626368598,104.17227636659,6.37473996132102e-08,0.00136719047950452
"dlb",2.11629306355245,5.14340260334875,87.8465685716131,1.77078996555422e-07,0.00189890661956206
"LOC108238592",-2.08862777737119,8.4675957355953,64.7550336967744,1.12583910400605e-06,0.00350525115372887
"LOC108234038",-2.67242762674956,4.16559213734979,64.5018937497463,1.15225525541262e-06,0.00350525115372887
"LOC108230347",-2.530397436144,9.74271294456654,63.7066407366189,1.23995760867869e-06,0.00350525115372887
"igsf9b",1.87003388546427,5.65226492118116,61.6703599221891,1.50144796996112e-06,0.00350525115372887
"LOC108249362",-1.92317485001888,5.79063687561944,59.3359443713358,1.88197831209013e-06,0.00350525115372887
"cdh26.1",-2.08147878910986,7.00685623837369,58.6650597744199,2.01091957912337e-06,0.00350525115372887
"fkbp1ab",1.62905571659852,5.80239470171113,58.6578493812946,2.01235909128134e-06,0.00350525115372887
"LOC108233541",-7.41559143781781,5.55883676515372,67.1818468111506,2.05731214992014e-06,0.00350525115372887
"spp1",-4.23553300654282,4.63073661505404,59.1292866991744,2.15978858792158e-06,0.00350525115372887
"LOC108248396",-2.90559407178197,6.67287332265174,58.2568807841733,2.20662183018004e-06,0.00350525115372887
"si:ch211-76l23.4",-2.9908537956019,4.50224400403086,55.776267518,2.69449771168946e-06,0.00350525115372887
"grhl1",-1.72088660221694,5.95932661515491,55.2770603859564,2.83777944125059e-06,0.00350525115372887
"LOC108238859",-2.36848347879791,9.02994858101451,55.1004245222841,2.89054406865684e-06,0.00350525115372887
"ckmt2a",-2.651992173908,5.84040862249042,54.9761753750273,2.96512117271988e-06,0.00350525115372887
"LOC108238593",-2.16705406749616,7.68993177781112,53.3930900932596,3.46260781475969e-06,0.00350525115372887
"LOC108229822",-6.5303986034112,3.25380697255069,53.7892438796689,3.70233449549593e-06,0.00350525115372887
"LOC108248513",-3.56314673445666,9.99555202632959,53.871446667929,3.81193921592103e-06,0.00350525115372887
"pkp3a",-2.10737556847303,7.53158659455912,52.3869048456012,3.8598570238625e-06,0.00350525115372887
"LOC108251600",-2.61388360944368,4.40585876752026,51.6862871185057,4.16721206375393e-06,0.00350525115372887
"LOC108238612",-2.25611674661323,8.70460385755059,51.5508180809199,4.22981145138504e-06,0.00350525115372887
"LOC108229317",-1.81066100634118,7.00900511409415,51.5464591381516,4.23184343147466e-06,0.00350525115372887
"LOC108234124",-1.90812899639254,6.3636443759651,51.494902151077,4.25596208440982e-06,0.00350525115372887
"sox11b",2.02528070423946,5.15456282010828,51.4767571912681,4.26448767408399e-06,0.00350525115372887
"her13",2.28223512976346,3.77405943933562,51.4429935721662,4.2804037509054e-06,0.00350525115372887
"LOC108231573",2.80815419617926,2.85906113679994,51.0958719054643,4.44802625219672e-06,0.00350525115372887
"LOC108248403",-1.64740206527857,5.58083481442253,49.9772256860832,5.04139980446923e-06,0.00350525115372887
"pdca",-10.9896394724248,3.19244611572151,60.6043750500384,5.1886287582261e-06,0.00350525115372887
"LOC108235410",-1.84331854287908,4.89036078891395,49.5911216297771,5.26679679060955e-06,0.00350525115372887
"cavin2",-1.70096174542041,7.97793937970117,48.9322015200129,5.67853635174831e-06,0.00350525115372887
"opn1sw2",-5.36569316485201,5.70514148596712,53.3179780128786,5.683322310938e-06,0.00350525115372887
"opn1sw1",-6.52298424450938,5.07422562566241,54.0521245046377,5.75950910445192e-06,0.00350525115372887
"sox11a",1.56120675956746,7.38772318625655,48.6202062254177,5.88622056452109e-06,0.00350525115372887
"LOC108236161",-1.52377627579962,8.08042357496863,48.3667532008957,6.06132808908672e-06,0.00350525115372887
"LOC108228882",-2.1680637945536,5.64684968477453,48.0992537904054,6.2526172697566e-06,0.00350525115372887
"pax3b",1.65222789719538,5.67408517673993,47.8078192987157,6.46890537044434e-06,0.00350525115372887
"ntf3",-1.47806417621527,4.88357223218556,47.6833264245988,6.5638901977591e-06,0.00350525115372887
"dla",1.60686970774528,4.4927004813549,47.5544836593784,6.66387309775323e-06,0.00350525115372887
"tnmd",-3.07583777816195,4.79956142548732,47.6865801333316,6.7382699536661e-06,0.00350525115372887
"LOC112451297",-1.52540493100182,7.0359226258054,47.2307546116517,6.92284848798327e-06,0.00350525115372887
"LOC108230105",2.09250039569903,4.96617939857988,47.1722222197111,6.97088880187311e-06,0.00350525115372887
"LOC108243627",-2.23218411637091,5.0424866507212,46.7774477173691,7.30501266660238e-06,0.00350525115372887
"LOC108245281",-1.98338451668449,6.37863526544709,46.6406652363883,7.42501475739407e-06,0.00350525115372887
"si:dkey-262k9.2",-2.16781710995062,6.62013455100447,46.5676939970929,7.48995294404616e-06,0.00350525115372887
"LOC108231589",-2.52350427302861,6.00415854423843,46.6826405756325,7.58367718058545e-06,0.00350525115372887
"insm1b",1.85523085500286,4.96616527573881,46.356501359104,7.68157804006419e-06,0.00350525115372887
"abraa",-5.21068313037158,1.76234774996186,45.7314180363491,8.282354723666e-06,0.00355721310921767
"si:ch211-105c13.3",-1.61428219616656,7.63525486872653,45.5752200558037,8.44073574722484e-06,0.00355721310921767
"LOC108248514",-2.57982216656347,8.24789683739119,45.8462479869429,8.54558050714271e-06,0.00355721310921767
"si:dkey-157l19.2",-1.39324607341302,6.04883728327625,45.2809234674955,8.74862694749942e-06,0.00355721310921767
"LOC108249266",-1.67358603234302,6.05577703957437,45.2652240950138,8.76540810119433e-06,0.00355721310921767
"ldha",-1.71576988662747,8.67369843390381,45.0624629877626,8.98547387062101e-06,0.00355721310921767
"LOC108249410",-2.55867431569709,6.1316300334168,45.3196943909546,9.08923063471742e-06,0.00355721310921767
"gjb9a",-1.67860800244466,4.72841032218989,44.8254310387731,9.25076941109565e-06,0.00355721310921767
"wu:fl23c11",-2.594141535165,2.76546259104803,44.6823669844895,9.41521321182724e-06,0.00355721310921767
"LOC108243400",-1.60901109679393,4.66442263426232,44.6489899391799,9.45405638203045e-06,0.00355721310921767
"LOC108229359",-2.46356459316059,4.60420232473905,44.0720675918014,1.01552184646551e-05,0.00365247186390147
"ppl",-1.56484426223943,7.82152962089998,44.0572845319903,1.01739492134566e-05,0.00365247186390147
"cyt1l",-2.74251238718362,11.8589448065784,44.1804863706652,1.06489784755059e-05,0.00365247186390147
"LOC108247812",-1.81297612340934,7.5616587530829,43.6395231842284,1.07199260029497e-05,0.00365247186390147
"LOC108232195",-1.98510801747056,4.82086678241829,43.5353588840255,1.08612167031027e-05,0.00365247186390147
"gadd45gb.1",2.08618763451623,3.87318195490774,43.5157958568203,1.08879887541019e-05,0.00365247186390147
"si:ch73-74h11.1",-1.45436127937411,7.42468077505795,43.4660334027228,1.09564287941022e-05,0.00365247186390147
"LOC108233555",-4.20408158549821,3.10125455395579,43.3844881271996,1.10696447593414e-05,0.00365247186390147
"LOC108244861",-1.49190324181796,7.48974109364566,42.9959016520984,1.16278216809743e-05,0.00369049968432564
"tp63",-1.83194400883864,6.90690121548768,42.4067718697801,1.25364372699929e-05,0.00369049968432564
"nos1",-1.53110351772721,7.63639591000001,42.2972695131981,1.27141107184223e-05,0.00369049968432564
"LOC108246810",-2.07818244463556,4.38479626719696,42.2659940264387,1.27653831126369e-05,0.00369049968432564
"LOC108232282",-4.12364618223704,4.79635575160705,43.1978099132317,1.2822310800901e-05,0.00369049968432564
