"","logFC","logCPM","F","PValue","FDR"
"LOC108248517",1.85559661782015,5.19234717993959,51.011940032202,4.48967252843004e-06,0.0302588615214639
"LOC108233541",-6.69246127308359,5.55883676515372,57.2144861113976,4.83827320861279e-06,0.0302588615214639
"opn1sw2",-5.13696203925787,5.70514148596712,49.6914826525858,8.26274456455776e-06,0.0302588615214639
"opn1sw1",-6.20995308737368,5.07422562566241,49.7968659246915,8.86343276962672e-06,0.0302588615214639
"suz12b",1.78736039204419,6.83130281144383,44.9228192744589,9.14070163291478e-06,0.0302588615214639
"LOC108249976",-4.06465786233687,2.72728014511839,44.563465904986,9.55442379532863e-06,0.0302588615214639
"LOC108229822",-5.87448995870589,3.25380697255069,44.2960351309807,1.08453425340525e-05,0.0302588615214639
"blvrb",2.2630683408611,5.88298485645035,42.5537714832878,1.23023586136886e-05,0.0302588615214639
"LOC108245388",-2.38680209083198,4.32561564856417,41.7697180430168,1.36113836143799e-05,0.0302588615214639
"tnmd",-2.84850539659713,4.79956142548732,41.2168540392237,1.49792232855173e-05,0.0302588615214639
"LOC108230705",-5.15158457789576,1.72162896031708,40.3353697602612,1.64397410829471e-05,0.0302588615214639
"pdca",-9.82478852014075,3.19244611572151,47.7279909788627,1.69304023060366e-05,0.0302588615214639
"LOC108246265",-4.29006314396211,2.68383633906233,37.0180048293199,2.59617041576533e-05,0.04283082069763
"jarid2b",2.03648195123965,8.27388392459572,36.1419224634685,2.95520101507379e-05,0.0452715686930625
"gnat2",-7.14242141212001,5.46805648249798,41.9003525035661,3.43410640272123e-05,0.0455759380936128
"kdm6bb",1.54806982774994,9.33605440376358,35.0148108964864,3.4726904883954e-05,0.0455759380936128
"col10a1b",-4.36868476309132,4.92667173386898,35.9674745133862,4.1500501685229e-05,0.0455759380936128
"LOC108232895",-3.05598494118582,2.55001017616452,33.5869618653221,4.3051859539572e-05,0.0455759380936128
"LOC108232282",-3.60436826203551,4.79635575160705,33.7815937591823,4.61730438100112e-05,0.0455759380936128
"LOC108229967",-4.8615186368461,2.68303120673941,33.167415135709,4.78328539262506e-05,0.0455759380936128
"urod",1.50392284864103,5.01625423848458,32.5278259451115,5.07103410675037e-05,0.0455759380936128
"LOC108238859",-1.78305893387087,9.02994858101451,32.4890252923534,5.1019113739602e-05,0.0455759380936128
"ldha",-1.44257136872192,8.67369843390381,32.3264739382758,5.23362276439318e-05,0.0455759380936128
"aipl1",-4.32756541180035,2.87375033684385,32.4924807863084,5.26061210827465e-05,0.0455759380936128
"kazna",-1.3482295621759,4.6658634076594,32.0086898341129,5.50248647579308e-05,0.0455759380936128
"si:ch211-113d22.2",-6.79280955653027,2.10356182402779,32.2351778796798,5.52512887785674e-05,0.0455759380936128
"cdhr1a",-7.37175028414073,3.12248840544057,32.2384027390143,5.98002766605612e-05,0.0462645463487044
"fbrs",1.56549534155002,7.80693091811732,31.211988727651,6.24872493299308e-05,0.0462645463487044
"spp1",-2.96995954265929,4.63073661505404,31.6213726096106,6.27404455193998e-05,0.0462645463487044
"LOC108246977",-2.20713289638935,3.87865745701055,30.9950749174749,6.4714710237382e-05,0.0462645463487044
"gngt1",-4.49999092612948,4.71032606532619,32.5999122934402,6.90576326006077e-05,0.046326517696879
"LOC108243688",8.38223006803473,5.13288330896909,36.5521625771666,7.05939964135469e-05,0.046326517696879
"ache",-1.28309251038865,5.92010432596604,30.4020828059408,7.12815351329793e-05,0.046326517696879
"unc119.2",-3.42077753947828,2.46309592011038,30.0475577720725,7.55698649641522e-05,0.0471198802251853
"LOC108244447",-2.7166476614514,4.1237304894487,29.9898269658262,7.74982457577811e-05,0.0471198802251853
"pvalb7",-1.85736525108827,6.82003979002516,29.5698192109029,8.24254441051765e-05,0.0471198802251853
"LOC108247938",-2.75527088707386,3.82635524850407,29.4517402764769,8.43990890990708e-05,0.0471198802251853
"abraa",-4.1283024680623,1.76234774996186,29.295973238867,8.56722614025392e-05,0.0471198802251853
"LOC108244500",-2.34802871269713,5.00407626368598,29.3985151426837,8.56844933455601e-05,0.0471198802251853
"gnat1",-7.0755529351144,4.6690044730218,33.4391293029349,9.10616989103968e-05,0.048825006413282
"txn",1.5324419328777,7.92580976240129,28.6915132820089,9.49245987021021e-05,0.0496548260576582
"LOC108248079",-3.66783391844424,4.33906313986575,29.0742766358275,9.91298017973927e-05,0.049788851782574
"kif4",1.17976783136868,5.5826400985531,28.3981002038166,9.98237807922172e-05,0.049788851782574
"LOC108233555",-3.33110159017356,3.10125455395579,27.9759836936996,0.000107387062836372,0.052343871287538
"prph2lb",-3.30718628132539,1.64747041374198,27.6715493954805,0.000113248605372752,0.0531694439644102
"LOC119617699",-6.23744686703593,2.43539462798178,27.9040311790713,0.00011628933103589,0.0531694439644102
"gucy2d",-4.43207459472807,2.63209257560181,27.556322078213,0.000119599099601917,0.0531694439644102
"rlbp1b",-2.59407448881373,4.06269532408989,27.3964425971783,0.000120577642741002,0.0531694439644102
"mbpa",-7.2906759261087,3.3991224907012,28.7680161026611,0.000121476325558638,0.0531694439644102
"LOC108230778",2.84656927994874,2.31691102643109,27.0510470103348,0.000126363730133794,0.0542024584035898
"cnga1a",-4.8071441651054,2.16397720574769,26.7498032628268,0.000135374155808533,0.0569288141103061
"hmgb2a",1.13217081279798,9.149415090325,26.1044714598865,0.000149856881139284,0.0606231951372207
"LOC108234907",-3.25882767656371,2.08547434411325,25.9897675242329,0.000153028901596087,0.0606231951372207
"epd",-3.02758828373234,4.06193091264177,26.2459530249314,0.000154813516334195,0.0606231951372207
"LOC108236977",-2.04756790984131,9.01425897978729,26.0888104753289,0.000158769751526219,0.0606231951372207
"LOC108231255",-3.71532511225652,3.09166364108097,25.9345810979186,0.000160502478785513,0.0606231951372207
"LOC108232055",-7.77511677686475,8.48233894066263,31.2630542316675,0.000161119136607525,0.0606231951372207
"si:ch211-76l23.4",-1.97826209252742,4.50224400403086,25.5247737818916,0.000166697978342708,0.0610571968504333
"pdzph1",-3.13715716999306,3.19963367742712,25.4742537932387,0.000169911157590697,0.0610571968504333
"arr3a",-5.23540846658774,7.66521398638365,29.7890319405012,0.000170813251784678,0.0610571968504333
"si:dkey-33c12.3",-2.98875330140674,5.47445379538185,25.8357948737245,0.000183405200336787,0.0644834644528374
"ankrd1a",-3.56896145893327,1.1538829379257,24.751128287105,0.000192650537319143,0.0666415495787689
"rbp3",-3.66043722301136,3.36523783807622,24.9165733431399,0.000197360969906925,0.0671873130411719
"guk1b",-3.63339437114591,3.74049580277636,24.8383289069381,0.000204123654574713,0.0684037503072481
